Task,DeltaF1,CI95,paired_p,CI90,TOST_p,equivalent_pm0.02
Intent,0.0082,"[-0.005, +0.024]",0.297,"[-0.003, +0.022]",0.076,False
AnswerType,0.0155,"[-0.021, +0.050]",0.402,"[-0.016, +0.046]",0.411,False
CognitiveLevel,0.0106,"[-0.005, +0.026]",0.167,"[-0.002, +0.023]",0.104,False
QuestionParticleType,-0.0053,"[-0.018, +0.000]",0.267,"[-0.015, +0.000]",0.018,True
QuestionType,0.0118,"[-0.002, +0.026]",0.089,"[+0.000, +0.023]",0.116,False
Subjectivity,-0.004,"[-0.015, +0.006]",0.447,"[-0.013, +0.005]",0.005,True
TemporalContext,0.0139,"[-0.023, +0.059]",0.466,"[-0.015, +0.047]",0.347,False
PurposeContext,-0.0085,"[-0.042, +0.023]",0.596,"[-0.037, +0.018]",0.234,False
List,0.0006,"[-0.016, +0.017]",0.956,"[-0.013, +0.014]",0.009,True
Mean macro-F1,0.0048,"[-0.003, +0.013]",0.233,"[-0.002, +0.012]",0.001,True
